x,y,score,row_id,region,x_min,x_max,y_min,y_max
16294.175,16361.293,0.0985657087276656,54221,Bottom-middle,14100,17500,16300,19000
16297.098,16998.283,0.0462157396619405,54943,Bottom-middle,14100,17500,16300,19000
16297.279,17708.273,0.0802039843307258,55696,Bottom-middle,14100,17500,16300,19000
16299.954,18064.89,-0.180945643292131,65180,Bottom-middle,14100,17500,16300,19000
16300.164,18944.91,-0.0375287549546236,66501,Bottom-middle,14100,17500,16300,19000
16300.451,18754.51,0.113393448934451,66124,Bottom-middle,14100,17500,16300,19000
16300.541,16766.467,-0.139058721403042,54631,Bottom-middle,14100,17500,16300,19000
16300.702,17394.795,0.207309059068554,55391,Bottom-middle,14100,17500,16300,19000
16301.157,17911.807,-0.00326281569851849,55887,Bottom-middle,14100,17500,16300,19000
16301.848,18609.457,0.116051421119297,65850,Bottom-middle,14100,17500,16300,19000
16302.24,18973.844,0.0650178972111436,66548,Bottom-middle,14100,17500,16300,19000
16302.61,16810.041,0.0569133928647419,54698,Bottom-middle,14100,17500,16300,19000
16302.652,16846.285,-0.0832283021170133,54730,Bottom-middle,14100,17500,16300,19000
16304.302,17181.385,0.16371566501206,55137,Bottom-middle,14100,17500,16300,19000
16307.776,17237.725,0.2026699689384,55204,Bottom-middle,14100,17500,16300,19000
16308.455,18177.588,0.0537819494735252,65291,Bottom-middle,14100,17500,16300,19000
16312.098,18903.393,0.021181997649411,66409,Bottom-middle,14100,17500,16300,19000
16316.512,18371.05,-0.0187353706796463,65484,Bottom-middle,14100,17500,16300,19000
16317.276,17058.117,0.149669142826151,55008,Bottom-middle,14100,17500,16300,19000
16319.522,18535.4,-0.158595508483428,65711,Bottom-middle,14100,17500,16300,19000
16322.029,18771.773,0.211544934273208,66156,Bottom-middle,14100,17500,16300,19000
16322.298,17643.416,0.274251612372959,55624,Bottom-middle,14100,17500,16300,19000
16323.656,17506.314,-0.0299102790396457,55511,Bottom-middle,14100,17500,16300,19000
16325.136,18702.195,0.148185008060352,66006,Bottom-middle,14100,17500,16300,19000
16326.198,16433.105,-0.137496023124273,54292,Bottom-middle,14100,17500,16300,19000
16326.466,18663.592,0.259256754134371,65928,Bottom-middle,14100,17500,16300,19000
16327.215,16334.359,0.14047640361031,54197,Bottom-middle,14100,17500,16300,19000
16329.755,18957.178,0.0639969333992134,66511,Bottom-middle,14100,17500,16300,19000
16329.923,16522.334,-0.178600386509723,54382,Bottom-middle,14100,17500,16300,19000
16330.002,18879.223,0.233309186519112,66343,Bottom-middle,14100,17500,16300,19000
